model,n,p,seed,nr_cliques,max_clique,time_cliques
superdense_gnp,20,0.9,291,17,14,0.273219
dense_gnp,20,0.9,291,17,14,0.094216
superdense_gnp,20,0.9,34,36,13,0.110349
dense_gnp,20,0.9,34,36,13,0.111327
superdense_gnp,20,0.9,3728,42,12,0.113562
dense_gnp,20,0.9,3728,42,12,0.247936
superdense_gnp,20,0.9,4029,48,12,0.117822
dense_gnp,20,0.9,4029,48,12,0.331397
superdense_gnp,20,0.9,482,63,11,0.303321
dense_gnp,20,0.9,482,63,11,0.310863
superdense_gnp,20,0.9,56,31,13,0.128717
dense_gnp,20,0.9,56,31,13,0.265187
superdense_gnp,20,0.9,7821,104,11,0.145899
dense_gnp,20,0.9,7821,104,11,0.416533
superdense_gnp,20,0.9,917,57,11,0.344108
dense_gnp,20,0.9,917,57,11,0.116845
superdense_gnp,20,0.9,91928,49,13,0.289842
dense_gnp,20,0.9,91928,49,13,0.121594
superdense_gnp,20,0.9,92839,105,12,0.132977
dense_gnp,20,0.9,92839,105,12,0.137936
superdense_gnp,20,0.9,9291,42,13,0.118800
dense_gnp,20,0.9,9291,42,13,0.339010
superdense_gnp,20,0.9,934,31,13,0.322178
dense_gnp,20,0.9,934,31,13,0.300178
superdense_gnp,20,0.9,93728,117,11,0.312889
dense_gnp,20,0.9,93728,117,11,0.142756
superdense_gnp,20,0.9,94029,16,15,0.281321
dense_gnp,20,0.9,94029,16,15,0.218604
superdense_gnp,20,0.9,9482,35,13,0.117263
dense_gnp,20,0.9,9482,35,13,0.115308
superdense_gnp,20,0.9,956,60,13,0.120895
dense_gnp,20,0.9,956,60,13,0.386712
superdense_gnp,20,0.9,97821,45,13,0.120197
dense_gnp,20,0.9,97821,45,13,0.253873
superdense_gnp,25,0.68,17,166,7,0.163638
superdense_gnp,25,0.68,1928,190,8,0.513403
superdense_gnp,25,0.68,2839,273,9,0.239974
superdense_gnp,25,0.68,291,218,9,0.604616
superdense_gnp,25,0.68,34,262,9,0.645333
superdense_gnp,25,0.68,3728,183,7,0.447613
superdense_gnp,25,0.68,4029,206,8,0.604895
superdense_gnp,25,0.68,482,157,8,0.482812
superdense_gnp,25,0.68,56,174,9,0.533238
superdense_gnp,25,0.68,7821,170,8,0.478762
superdense_gnp,25,0.68,917,162,7,0.353467
superdense_gnp,25,0.68,91928,202,9,0.195486
superdense_gnp,25,0.68,92839,167,7,0.353327
superdense_gnp,25,0.68,9291,190,9,0.427149
superdense_gnp,25,0.68,934,145,10,0.181028
superdense_gnp,25,0.68,93728,161,8,0.462489
superdense_gnp,25,0.68,94029,177,9,0.434971
superdense_gnp,25,0.68,9482,168,7,0.175720
superdense_gnp,25,0.68,956,194,8,0.179771
superdense_gnp,25,0.68,97821,194,9,0.540502
dense_gnp,25,0.6,17,113,7,0.347740
dense_gnp,25,0.6,1928,133,7,0.354375
dense_gnp,25,0.6,2839,188,8,0.479460
dense_gnp,25,0.6,291,178,7,0.485397
dense_gnp,25,0.6,34,145,7,0.422051
dense_gnp,25,0.6,3728,112,7,0.339150
dense_gnp,25,0.6,4029,136,8,0.404521
dense_gnp,25,0.6,482,124,7,0.349416
dense_gnp,25,0.6,56,155,8,0.435880
dense_gnp,25,0.6,7821,154,6,0.361638
dense_gnp,25,0.6,917,122,6,0.335239
dense_gnp,25,0.6,91928,147,7,0.388597
dense_gnp,25,0.6,92839,131,7,0.324832
dense_gnp,25,0.6,9291,183,7,0.461791
dense_gnp,25,0.6,934,137,7,0.386432
dense_gnp,25,0.6,93728,130,8,0.365759
dense_gnp,25,0.6,94029,159,7,0.423448
dense_gnp,25,0.6,9482,124,7,0.351092
dense_gnp,25,0.6,956,157,7,0.397955
dense_gnp,25,0.6,97821,127,8,0.394044
dense_gnp,25,0.7,17,174,8,0.176000
dense_gnp,25,0.7,1928,196,9,0.563898
dense_gnp,25,0.7,2839,334,9,0.690311
